stud_id,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_(grade),nationality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,status
776,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,128,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,116.5,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,13,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
777,Single,Over 23 years old,1,Management,Daytime,Other - 11th year of schooling,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,118.2,No,No,No,Yes,Female,No,31,No,0,5,8,1,13,2,0,5,9,4,12.25,0,10.8,1.4,1.74,Dropout
778,Single,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,138.3,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.5,1.79,Enrolled
779,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,158,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.5,No,No,No,Yes,Female,Yes,20,No,0,6,9,6,11.33333333,0,0,6,6,6,12.33333333,0,10.8,1.4,1.74,Graduate
780,Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,148,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,148,Yes,No,No,Yes,Female,No,20,No,7,12,12,10,14.7,0,8,12,12,12,14.58333333,0,15.5,2.8,-4.06,Graduate
781,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,135,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",121,No,No,No,Yes,Female,No,19,No,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,7.6,2.6,0.32,Enrolled
782,Single,Over 23 years old,1,Equinculture,Daytime,11th year of schooling - not completed,133.1,Portuguese,Other - 11th Year of Schooling,Can read without having a 4th year of schooling,Other Situation,Other Situation,128.2,No,No,No,No,Male,Yes,30,No,0,5,13,0,0,3,0,5,5,0,0,5,9.4,-0.8,-3.12,Dropout
783,Single,2nd phase - general contingent,5,Tourism,Daytime,Secondary education,113,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,110.2,Yes,No,No,Yes,Male,No,21,No,0,6,10,4,11.5,0,0,6,10,2,10.5,0,9.4,-0.8,-3.12,Dropout
784,Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,124,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Administrative staff,126.8,No,No,No,Yes,Female,Yes,18,No,1,6,8,6,12,1,0,6,12,5,11.14285714,0,13.9,-0.3,0.79,Enrolled
785,Single,Change of institution/course,1,Communication Design,Daytime,Secondary education,117,Portuguese,Higher Education - Doctorate,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,120,Yes,No,No,Yes,Female,No,21,No,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
786,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,125,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,119.4,Yes,No,No,Yes,Female,No,19,No,0,7,10,6,12.47142857,0,0,7,8,7,11.4625,0,12.4,0.5,1.79,Enrolled
787,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",110.5,No,No,No,Yes,Female,No,19,No,0,6,10,6,14.25,0,0,6,7,6,14,0,16.2,0.3,-0.92,Graduate
788,Single,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,129,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.30857143,0,0,8,10,8,12.55,0,12.4,0.5,1.79,Graduate
789,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,148,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",135.1,Yes,No,Yes,Yes,Female,No,18,No,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,Dropout
790,Single,International student (bachelor),1,Informatics,Daytime,Secondary education,133.1,Brazilian,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100,No,No,Yes,Yes,Male,No,24,Yes,2,8,8,7,13.14285714,0,1,6,8,6,11.83333333,0,8.9,1.4,3.51,Enrolled
791,Single,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,143,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133.8,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,13.03333333,0,0,7,7,6,13.03333333,0,7.6,2.6,0.32,Graduate
792,Single,Transfer,1,Communication Design,Daytime,Secondary education,100,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,115.9,No,No,No,Yes,Female,No,29,No,9,10,15,9,11.55555556,0,7,11,17,10,11.9,0,9.4,-0.8,-3.12,Enrolled
793,Single,Change of institution/course,1,Management (evening attendance),Evening,Professional higher technical course,110,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,128.2,No,No,No,No,Female,No,22,No,7,12,12,7,11,0,5,5,5,5,10.6,0,8.9,1.4,3.51,Dropout
794,Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,160,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,160,Yes,No,No,Yes,Female,No,20,No,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,12.4,0.5,1.79,Graduate
795,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,135,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",139.2,No,No,No,Yes,Male,Yes,19,No,0,6,6,6,13,0,0,6,6,6,13.16666667,0,12.4,0.5,1.79,Graduate
796,Single,Over 23 years old,1,Tourism,Daytime,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126.5,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.42857143,0,0,6,6,6,12.83333333,0,7.6,2.6,0.32,Graduate
797,Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,127,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,115.8,Yes,No,Yes,No,Female,No,19,No,0,6,6,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
798,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,150,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150,No,No,No,Yes,Male,Yes,24,No,0,6,9,6,13.55555556,0,0,6,7,6,12.66666667,0,13.9,-0.3,0.79,Graduate
799,Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,150,No,No,No,Yes,Male,No,49,No,0,5,6,5,12.2,0,0,5,9,5,11.8,0,15.5,2.8,-4.06,Graduate
800,Single,Change of course,1,Management (evening attendance),Evening,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120,Yes,No,Yes,Yes,Male,No,34,No,6,10,10,7,11.71428571,0,4,10,10,6,11.5,0,10.8,1.4,1.74,Dropout
801,Single,2nd phase - general contingent,4,Nursing,Daytime,Secondary education,141,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,126.3,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,13.29714286,0,0,8,8,7,13.29714286,0,10.8,1.4,1.74,Graduate
802,Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,101,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,104.5,Yes,No,No,Yes,Female,Yes,21,No,0,7,9,5,13.336,0,0,8,9,7,13.20714286,0,11.1,0.6,2.02,Graduate
803,Single,3rd phase - general contingent,3,Communication Design,Daytime,Secondary education,164,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,161.2,Yes,No,No,Yes,Female,No,18,No,1,6,8,6,13.71428571,1,0,6,8,6,14.375,0,13.9,-0.3,0.79,Graduate
804,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",136.3,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.5,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Graduate
805,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114,No,No,No,Yes,Female,No,44,No,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate
806,Single,Change of institution/course,1,Communication Design,Daytime,Secondary education,122,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.8,Yes,No,No,Yes,Male,No,21,No,4,12,13,5,13.2,0,4,12,12,4,13.5,0,8.9,1.4,3.51,Dropout
807,Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,136,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",133,Yes,No,No,Yes,Female,No,19,No,0,7,8,5,13.98,0,0,7,8,5,13.98,0,7.6,2.6,0.32,Enrolled
808,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,131.8,No,No,No,Yes,Female,No,18,No,0,7,9,7,12.57142857,0,0,7,8,7,14.42857143,0,11.1,0.6,2.02,Graduate
809,Single,3rd phase - general contingent,1,Social Service,Daytime,Secondary education,122,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.7,No,No,Yes,Yes,Female,Yes,18,No,0,6,9,6,10.83333333,0,0,6,8,6,12,0,11.1,0.6,2.02,Graduate
810,Single,International student (bachelor),1,Biofuel Production Technologies,Daytime,Secondary education,133.1,Brazilian,Higher Education - Bachelor's Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Administrative staff,100,No,No,No,Yes,Male,No,20,Yes,0,7,10,7,12.85714286,0,0,7,7,4,12.75,0,8.9,1.4,3.51,Enrolled
811,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,141.7,Yes,No,No,Yes,Male,No,22,No,0,6,6,6,12.66666667,0,0,6,6,6,13.83333333,0,10.8,1.4,1.74,Dropout
812,Single,Over 23 years old,1,Animation and Multimedia Design,Daytime,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100.8,No,Yes,No,Yes,Female,No,26,No,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Dropout
813,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,153,Spanish,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,131.8,Yes,No,No,Yes,Female,No,18,Yes,0,7,7,6,14.71666667,0,0,7,7,6,14.71666667,0,7.6,2.6,0.32,Graduate
814,Single,2nd phase - general contingent,2,Management,Daytime,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,114.5,Yes,No,No,Yes,Female,Yes,19,No,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Graduate
815,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,123.5,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,8,14.75,0,0,8,8,8,14.75,0,9.4,-0.8,-3.12,Graduate
816,Single,1st phase - general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,123,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,117.8,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.83333333,0,0,6,11,6,14.55555556,0,10.8,1.4,1.74,Graduate
817,Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,160,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",139,Yes,No,No,Yes,Female,Yes,18,No,0,6,8,5,12.2,0,0,6,13,0,0,0,9.4,-0.8,-3.12,Dropout
818,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,140,No,No,No,Yes,Male,No,19,No,0,6,15,3,13.25,0,0,6,9,1,12,0,13.9,-0.3,0.79,Dropout
819,Single,Holders of other higher courses,1,Nursing,Daytime,Higher education - degree,140,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140,No,No,No,Yes,Male,No,27,No,0,7,0,0,0,0,0,8,0,0,0,0,12.4,0.5,1.79,Dropout
820,Single,1st phase - general contingent,6,Tourism,Daytime,Secondary education,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",123.9,Yes,No,No,Yes,Female,Yes,18,No,0,6,7,6,13,0,0,6,6,6,13,0,12.4,0.5,1.79,Graduate
821,Married,Over 23 years old,1,Nursing,Daytime,Basic education 2nd cycle (6th/7th/8th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,146.6,No,No,No,Yes,Male,No,37,No,0,7,8,7,12.82857143,0,0,8,8,8,12.6875,0,13.9,-0.3,0.79,Graduate
822,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,112,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",113.8,Yes,No,No,Yes,Female,No,21,No,0,6,10,6,10.83333333,0,0,6,10,4,11,0,7.6,2.6,0.32,Enrolled
823,Married,Over 23 years old,1,Management,Daytime,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,142.5,No,No,No,Yes,Female,No,39,No,0,5,8,4,11.25,0,0,5,8,4,11.5,0,11.1,0.6,2.02,Enrolled
824,Single,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,106,Yes,No,No,Yes,Male,No,24,No,0,7,7,6,12.66666667,1,0,7,7,6,12.66666667,1,7.6,2.6,0.32,Graduate
825,Single,1st phase - general contingent,4,Social Service,Daytime,Secondary education,134,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",128.4,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.5,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
826,Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,143,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,135,No,No,No,Yes,Female,Yes,20,No,0,5,5,5,12.4,0,0,5,6,5,12.83333333,0,10.8,1.4,1.74,Graduate
827,Married,Over 23 years old,1,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,118.9,No,No,No,Yes,Female,No,30,No,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,Dropout
828,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,129,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.1,No,No,No,Yes,Female,No,19,No,0,6,8,6,12,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Dropout
829,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,153,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",138.5,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,15.79857143,0,0,8,8,7,15.79857143,0,10.8,1.4,1.74,Graduate
830,Single,1st phase - general contingent,2,Social Service (evening attendance),Evening,Secondary education,96,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,100,No,No,No,Yes,Female,No,20,No,0,6,10,5,12,0,0,6,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled
831,Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,144.3,Yes,No,No,Yes,Female,Yes,19,No,3,6,7,6,13.14285714,0,2,6,6,6,14.33333333,0,12.4,0.5,1.79,Graduate
832,Single,1st phase - general contingent,6,Social Service,Daytime,Secondary education,113,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Meal preparation assistants,"Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence",112.3,Yes,No,Yes,Yes,Female,Yes,20,No,0,6,8,5,11.6,0,0,6,8,4,11.75,0,8.9,1.4,3.51,Graduate
833,Single,2nd phase - general contingent,6,Advertising and Marketing Management,Daytime,Secondary education,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,111.3,No,No,No,Yes,Male,No,21,No,0,6,10,6,12.28571429,0,0,6,11,4,14.25,0,15.5,2.8,-4.06,Enrolled
834,Single,Technological specialization diploma holders,1,Informatics,Daytime,Technological specialization course,150,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,150,No,No,No,Yes,Male,No,20,No,0,5,16,0,0,0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled
835,Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,139,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,124.5,Yes,No,No,Yes,Female,No,19,No,0,8,9,7,12.04142857,0,0,8,9,7,12.04142857,0,10.8,1.4,1.74,Graduate
836,Single,Transfer,1,Agronomy,Daytime,Secondary education,130,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",105.3,No,No,No,No,Male,No,36,No,0,6,8,0,0,0,0,6,10,0,0,0,16.2,0.3,-0.92,Dropout
837,Single,Change of course,1,Tourism,Daytime,Secondary education,134,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.3,Yes,No,Yes,Yes,Female,No,19,No,0,6,13,2,11.5,0,0,6,13,1,11,0,7.6,2.6,0.32,Dropout
838,Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,154,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",154.7,No,No,No,Yes,Female,Yes,18,No,0,5,6,5,11.8,0,0,5,5,5,12.6,0,9.4,-0.8,-3.12,Graduate
839,Single,1st phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,142,Portuguese,7th Year (Old),7th Year (Old),Other Situation,Other Situation,155.3,No,No,No,Yes,Female,No,19,No,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
840,Single,1st phase - general contingent,3,Informatics,Daytime,Secondary education,133,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,121.8,Yes,No,No,Yes,Male,No,18,No,0,5,9,4,12,0,0,5,10,2,11,0,8.9,1.4,3.51,Enrolled
841,Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,120.5,Yes,No,No,Yes,Female,No,21,No,0,8,8,7,12.91,0,0,8,8,7,12.91,0,10.8,1.4,1.74,Graduate
842,Single,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100,No,No,No,Yes,Female,No,60,No,0,6,10,6,12.75,0,0,6,6,4,14.75,0,13.9,-0.3,0.79,Graduate
843,Single,1st phase - general contingent,2,Management,Daytime,Secondary education,118,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Administrative staff,113.8,Yes,No,No,Yes,Female,No,21,No,0,5,9,3,11.66666667,0,0,5,9,4,11.75,0,8.9,1.4,3.51,Graduate
844,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,113,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",106.7,Yes,No,No,Yes,Female,Yes,20,No,0,7,10,5,12.62,0,0,7,8,6,12.5,0,11.1,0.6,2.02,Enrolled
845,Single,Change of course,1,Advertising and Marketing Management,Daytime,Secondary education,160,Portuguese,Unknown,Unknown,(blank),(blank),100.1,No,No,No,No,Male,No,35,No,6,10,10,7,12.14285714,0,4,9,9,4,12.25,0,7.6,2.6,0.32,Dropout
